"promotion_id","promotion_name","promotion_type","start_datetime","end_datetime","asin","views","units","sales"
"78e8c25d","LUXE WEAVERS Modern Area Rugs with Abstract Patterns 7681 â Medium Pile Area Rug, Passion / 6 x 9",BEST_DEAL,2023-01-16 08:00:00.000 +0000,2023-01-23 07:45:00.000 +0000,B08KS957Z7,1887,29,2218.5
"78e8c25d","LUXE WEAVERS Modern Area Rugs with Abstract Patterns 7681 â Medium Pile Area Rug, Passion / 6 x 9",BEST_DEAL,2023-01-16 08:00:00.000 +0000,2023-01-23 07:45:00.000 +0000,B088T5LXP5,833,5,364.5
fcd4b411,"Luxe Weavers Distressed Cream 6 Foot Round Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B01MSDEGM7,930,0,0.0
fcd4b411,"Luxe Weavers Distressed Cream 6 Foot Round Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B01MYE7H9G,1787,0,0.0
fcd4b411,"Luxe Weavers Distressed Cream 6 Foot Round Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B01M4PXW7U,0,0,0.0
fcd4b411,"Luxe Weavers Distressed Cream 6 Foot Round Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B09WX7Q85Z,58,0,0.0
fcd4b411,"Luxe Weavers Distressed Cream 6 Foot Round Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B072S217WP,2024,5,382.5
fcd4b411,"Luxe Weavers Distressed Cream 6 Foot Round Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B01N4TTNGO,0,0,0.0
fcd4b411,"Luxe Weavers Distressed Cream 6 Foot Round Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B0743YDJBH,0,0,0.0
fcd4b411,"Luxe Weavers Distressed Cream 6 Foot Round Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B09VYHX875,3764,32,4624.0
fcd4b411,"Luxe Weavers Distressed Cream 6 Foot Round Area Rug, Modern, Stain Resistant Carpet, Indoor Oriental Rug",BEST_DEAL,2022-11-21 08:00:00.000 +0000,2022-11-28 07:45:00.000 +0000,B01IRCAUXO,12661,39,4541.16
